,Total Effort List,Total Effort By Age
0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
1,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
2,"(0.0, 6.117424200946282, 421.00277600587776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((0.0, 6.117424200946282, 421.00277600587776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
3,"(7.591294123856425, 6.117424200946282, 601.0595260809198, 390.5451683394283, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((7.591294123856425, 6.117424200946282, 542.0595260809198, 257.3509498221392, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 59.0, 133.19421851728913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
4,"(7.591294123856425, 15.498389251247001, 601.0595260809198, 598.0079272855438, 491.1210602032128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((7.591294123856425, 15.498389251247001, 542.0595260809198, 363.42454847966115, 239.87288498192942, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 59.0, 234.58337880588277, 251.2481752212835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
5,"(144.229560379694, 601.3443213218718, 601.0595260809198, 598.0079272855438, 600.2091658459428, 8.730931578258945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((41.64673246290308, 345.49262746841777, 542.0595260809198, 363.42454847966115, 292.9609906246594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (102.58282791679092, 255.8516938534541, 59.0, 234.58337880588277, 307.24817522128353, 8.730931578258945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
6,"(494.16740105303944, 601.3443213218718, 601.0595260809198, 598.0079272855438, 600.2091658459428, 8.730931578258945, 574.4798838334972, 0.0, 0.0, 0.0, 0.0, 0.0)","((221.82811066060222, 345.49262746841777, 542.0595260809198, 363.42454847966115, 292.9609906246594, 0.0, 285.0772729948334, 0.0, 0.0, 0.0, 0.0, 0.0), (272.3392903924371, 255.8516938534541, 59.0, 234.58337880588277, 307.24817522128353, 8.730931578258945, 289.4026108386639, 0.0, 0.0, 0.0, 0.0, 0.0))"
7,"(600.2872193747944, 601.3443213218718, 601.0595260809198, 600.220514043665, 600.2091658459428, 33.60651646498935, 599.4798838334972, 587.391800986732, 0.0, 0.0, 0.0, 0.0)","((253.85496673736336, 345.49262746841777, 542.0595260809198, 363.42454847966115, 292.9609906246594, 0.0, 310.0772729948334, 318.5662219254113, 0.0, 0.0, 0.0, 0.0), (346.43225263743085, 255.8516938534541, 59.0, 236.79596556400398, 307.24817522128353, 33.60651646498935, 289.4026108386639, 268.82557906132087, 0.0, 0.0, 0.0, 0.0))"
8,"(600.2872193747944, 601.3443213218718, 601.0595260809198, 600.220514043665, 600.2091658459428, 491.52249331388424, 599.4798838334972, 587.391800986732, 282.2379352676319, 0.0, 0.0, 0.0)","((253.85496673736336, 345.49262746841777, 542.0595260809198, 363.42454847966115, 292.9609906246594, 190.82415823941312, 310.0772729948334, 318.5662219254113, 167.31412343518292, 0.0, 0.0, 0.0), (346.43225263743085, 255.8516938534541, 59.0, 236.79596556400398, 307.24817522128353, 300.6983350744711, 289.4026108386639, 268.82557906132087, 114.92381183244896, 0.0, 0.0, 0.0))"
9,"(600.2872193747944, 601.3443213218718, 601.0595260809198, 600.220514043665, 600.2091658459428, 595.9688028463568, 599.4798838334972, 590.2144870026913, 600.8973402475706, 276.5300633248089, 0.0, 0.0)","((253.85496673736336, 345.49262746841777, 542.0595260809198, 363.42454847966115, 292.9609906246594, 216.77123060791382, 310.0772729948334, 321.38890794137046, 320.6418891834032, 154.96203191377947, 0.0, 0.0), (346.43225263743085, 255.8516938534541, 59.0, 236.79596556400398, 307.24817522128353, 379.19757223844306, 289.4026108386639, 268.82557906132087, 280.2554510641671, 121.5680314110293, 0.0, 0.0))"
10,"(600.2872193747944, 601.3443213218718, 601.0595260809198, 600.220514043665, 600.2091658459428, 595.9688028463568, 599.4798838334972, 590.2144870026913, 600.8973402475706, 596.2836322500673, 412.5035096728855, 0.0)","((253.85496673736336, 345.49262746841777, 542.0595260809198, 363.42454847966115, 292.9609906246594, 216.77123060791382, 310.0772729948334, 321.38890794137046, 320.6418891834032, 274.338515938275, 224.40906612384936, 0.0), (346.43225263743085, 255.8516938534541, 59.0, 236.79596556400398, 307.24817522128353, 379.19757223844306, 289.4026108386639, 268.82557906132087, 280.2554510641671, 321.94511631179233, 188.09444354903616, 0.0))"
11,"(600.2872193747944, 601.3443213218718, 601.0595260809198, 600.220514043665, 600.2091658459428, 595.9688028463568, 599.4798838334972, 590.2144870026913, 600.8973402475706, 596.2836322500673, 589.0067881334637, 577.0819875829545)","((253.85496673736336, 345.49262746841777, 542.0595260809198, 363.42454847966115, 292.9609906246594, 216.77123060791382, 310.0772729948334, 321.38890794137046, 320.6418891834032, 274.338515938275, 320.5563187843775, 258.27310873794465), (346.43225263743085, 255.8516938534541, 59.0, 236.79596556400398, 307.24817522128353, 379.19757223844306, 289.4026108386639, 268.82557906132087, 280.2554510641671, 321.94511631179233, 268.45046934908623, 318.8088788450099))"
